a1,a2,a3,alpha,gmax,gmin,num_pop,gbest_per_gen,replication,seed,time
1,2,2,0.5,0.9,0.3,"(50, 100)",13.282,2,3333,100.2216489315033
1,2,2,0.5,0.9,0.5,"(100, 50)",13.181999999999999,2,3333,99.28021097183228
1,2,2,0.5,0.9,0.5,"(50, 100)",21.066000000000003,2,3333,99.61328125
1,1.5,1,0.5,0.7,0.3,"(100, 50)",13.282,3,4444,99.63162112236023
1,1.5,1,0.5,0.7,0.3,"(50, 100)",18.95,3,4444,100.61825823783875
1,1.5,1,0.5,0.7,0.5,"(100, 50)",19.266,3,4444,99.67703986167908
1,1.5,1,0.5,0.7,0.5,"(50, 100)",18.332,3,4444,100.36790943145752
1,1.5,1,0.5,0.9,0.3,"(100, 50)",20.716,3,4444,99.04898023605347
1,1.5,1,0.5,0.9,0.3,"(50, 100)",17.432,3,4444,100.52589702606201
1,1.5,1,0.5,0.9,0.5,"(100, 50)",13.282,3,4444,100.28396534919739
1,1.5,1,0.5,0.9,0.5,"(50, 100)",15.266,3,4444,100.29725432395935
1,1.5,2,0.5,0.7,0.3,"(100, 50)",18.432,3,4444,98.5751097202301
1,1.5,2,0.5,0.7,0.3,"(50, 100)",13.282,3,4444,101.41636395454407
1,1.5,2,0.5,0.7,0.5,"(100, 50)",15.025,3,4444,100.28116154670715
1,1.5,2,0.5,0.7,0.5,"(50, 100)",19.466,3,4444,99.47461104393005
1,1.5,2,0.5,0.9,0.3,"(100, 50)",19.966,3,4444,98.65283274650574
1,1.5,2,0.5,0.9,0.3,"(50, 100)",22.482,3,4444,98.70092034339905
1,1.5,2,0.5,0.9,0.5,"(100, 50)",18.516,3,4444,99.1613097190857
1,1.5,2,0.5,0.9,0.5,"(50, 100)",19.966,3,4444,100.97092080116272
1,2,1,0.5,0.7,0.3,"(100, 50)",14.775,3,4444,99.20292472839355
1,2,1,0.5,0.7,0.3,"(50, 100)",22.316000000000003,3,4444,101.19489979743958
1,2,1,0.5,0.7,0.5,"(100, 50)",23.599,3,4444,99.25167846679688
1,2,1,0.5,0.7,0.5,"(50, 100)",13.282,3,4444,100.51954913139343
1,2,1,0.5,0.9,0.3,"(100, 50)",19.466,3,4444,98.77607154846191
1,2,1,0.5,0.9,0.3,"(50, 100)",18.332,3,4444,100.48141598701477
1,2,1,0.5,0.9,0.5,"(100, 50)",19.682,3,4444,100.03163814544678
1,2,1,0.5,0.9,0.5,"(50, 100)",18.432,3,4444,100.25628972053528
1,2,2,0.5,0.7,0.3,"(100, 50)",18.408,3,4444,98.9462399482727
1,2,2,0.5,0.7,0.3,"(50, 100)",13.74,3,4444,100.5214569568634
1,2,2,0.5,0.7,0.5,"(100, 50)",13.282,3,4444,97.82896709442139
1,2,2,0.5,0.7,0.5,"(50, 100)",15.983,3,4444,99.8573546409607
1,2,2,0.5,0.9,0.3,"(100, 50)",22.441,3,4444,99.40150022506714
1,2,2,0.5,0.9,0.3,"(50, 100)",17.182,3,4444,100.68511247634888
1,2,2,0.5,0.9,0.5,"(100, 50)",17.016,3,4444,99.91745710372925
1,2,2,0.5,0.9,0.5,"(50, 100)",19.432000000000002,3,4444,100.44200897216797
1,1.5,1,0.5,0.7,0.3,"(100, 50)",15.282,4,5555,99.65505599975586
1,1.5,1,0.5,0.7,0.3,"(50, 100)",22.482,4,5555,99.15731024742126
1,1.5,1,0.5,0.7,0.5,"(100, 50)",17.716,4,5555,99.67664122581482
1,1.5,1,0.5,0.7,0.5,"(50, 100)",20.716,4,5555,99.97207593917847
